Wall time,Step,Value
1531049339,1618,0.99000001
1531049340,1620,0.99000001
1531049342,1627,0.949999988
1531049342,1628,0.949999988
1531049343,1632,0.970000029
1531049344,1637,0.970000029
1531049344,1640,0.970000029
1531049345,1642,0.980000019
1531049345,1645,0.970000029
1531049346,1648,0.949999988
1531049347,1652,0.980000019
1531049348,1660,0.99000001
1531049350,1668,0.959999979
1531049350,1670,0.99000001
1531049351,1672,0.970000029
1531049351,1675,0.959999979
1531049351,1676,0.980000019
1531049352,1682,0.980000019
1531049352,1683,0.980000019
1531049354,1691,0.970000029
1531049354,1694,0.99000001
1531049354,1695,0.970000029
1531049354,1696,0.980000019
1531049354,1697,0.970000029
1531049355,1699,0.980000019
1531049355,1702,0.980000019
1531049356,1709,0.99000001
1531049356,1710,0.99000001
1531049357,1717,0.99000001
1531049358,1718,0.99000001
1531049358,1719,0.980000019
1531049360,1728,0.99000001
1531049360,1732,0.99000001
1531049361,1734,0.970000029
1531049361,1735,0.970000029
1531049361,1737,0.970000029
1531049362,1742,0.99000001
1531049362,1743,0.959999979
1531049363,1745,1
1531049363,1746,0.980000019
1531049363,1747,0.99000001
1531049364,1752,0.99000001
1531049366,1766,0.970000029
1531049368,1775,1
1531049369,1781,1
1531049370,1788,0.980000019
1531049370,1789,0.980000019
1531049372,1798,0.949999988
1531049373,1805,0.980000019
1531049374,1813,0.980000019
1531049375,1814,0.980000019
1531049375,1817,0.99000001
1531049376,1824,0.980000019
1531049377,1826,0.949999988
1531049377,1830,0.980000019
1531049379,1840,0.980000019
1531049379,1841,0.970000029
1531049380,1844,0.959999979
1531049380,1849,0.959999979
1531049381,1853,0.99000001
1531049384,1866,0.959999979
1531049384,1868,0.949999988
1531049384,1869,0.99000001
1531049385,1875,0.949999988
1531049386,1876,0.99000001
1531049386,1877,1
1531049386,1879,0.970000029
1531049387,1881,0.99000001
1531049389,1893,0.980000019
1531049392,1902,0.949999988
1531049393,1906,0.99000001
1531049394,1911,1
